,PEOPLE_POSITIVE_CASES_COUNT,COUNTY_NAME,PROVINCE_STATE_NAME,REPORT_DATE,REPORT_DATE1,CONTINENT_NAME,DATA_SOURCE_NAME,PEOPLE_DEATH_NEW_COUNT,COUNTY_FIPS_NUMBER,COUNTRY_ALPHA_3_CODE,COUNTRY_SHORT_NAME,COUNTRY_ALPHA_2_CODE,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
36206,366,,,2020-11-01,2020-11-01,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,7,2
36207,144,,,2020-08-13,2020-08-13,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,3,4
36208,128,,,2020-08-07,2020-08-07,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,3,4
36209,92,,,2020-04-11,2020-04-11,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,2,1
36210,79,,,2020-04-07,2020-04-07,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,2,1
36211,33,,,2020-03-26,2020-03-26,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,2,0
36212,0,,,2020-01-31,2020-01-31,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,0,0
36213,0,,,2020-02-11,2020-02-11,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,0,0
36214,177,,,2020-09-14,2020-09-14,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,6,1
36215,99,,,2020-06-18,2020-06-18,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,0,4
36216,153,,,2020-09-07,2020-09-07,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,6,1
36217,154,,,2020-08-30,2020-08-30,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,0,4
36218,648,,,2020-12-08,2020-12-08,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,7,3
36219,133,,,2020-08-09,2020-08-09,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,2,4
36220,121,,,2020-08-03,2020-08-03,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,1,4
36221,2475,,,2021-05-06,2021-05-06,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,4,32
36222,1760,,,2021-02-14,2021-02-14,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,5,21
36223,2728,,,2021-07-21,2021-07-21,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,11,33
36224,2516,,,2021-06-10,2021-06-10,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,2,33
36225,224,,,2020-10-06,2020-10-06,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,1,2
